iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
46,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08786657  0.03514863 -0.07286069 ...  0.02104957  0.10671714
  0.03197977]",[0 0 0 0 0],0.0,0.0
47,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08769083  0.03507833 -0.07271497 ...  0.02100747  0.1065037
  0.03191581]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
48,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08751545  0.03500817 -0.07256954 ...  0.02096546  0.10629069
  0.03185197]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
49,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08734042  0.03493815 -0.0724244  ...  0.02092353  0.10607811
  0.03178827]",[0 0 0 0 0],0.0,0.0
50,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08716574  0.03486828 -0.07227955 ...  0.02088168  0.10586596
  0.03172469]",[0 0 0 0 0],0.0,2.2204460492503132e-17
51,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08699141  0.03479854 -0.07213499 ...  0.02083992  0.10565422
  0.03166124]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
52,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08681743  0.03472894 -0.07199072 ...  0.02079824  0.10544292
  0.03159792]",[0 0 0 0 0],0.0,0.0
53,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08664379  0.03465949 -0.07184674 ...  0.02075664  0.10523203
  0.03153473]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
54,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0864705   0.03459017 -0.07170305 ...  0.02071513  0.10502157
  0.03147166]",[0 0 0 0 0],0.0,2.2204460492503132e-17
55,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08629756  0.03452099 -0.07155964 ...  0.0206737   0.10481152
  0.03140871]",[0 0 0 0 0],0.0,2.2204460492503132e-17
