iteration,human feature,trajectory feature,feature norm,weights,human likeness,likelihood
8,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[-0.01469786  0.06750137  0.02656897 ... -0.05388723  0.08090964
  0.07381138]",0.692115625942305,-0.025111204270655385
8,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.01743539  0.0675087   0.02551798 ... -0.05377945  0.08074782
  0.07366375]",0.6548020903044954,0.34684775763878584
9,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.02054072  0.06752005  0.02446945 ... -0.0536719   0.08058632
  0.07351643]",0.7712467566082652,-0.3939202468007341
9,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.02344548  0.06752928  0.02342274 ... -0.05356455  0.08042515
  0.07336939]",0.7562418620875254,-0.10366917618669724
9,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.02480098  0.0674745   0.02279782 ... -0.05345742  0.0802643
  0.07322265]",0.7465486967314356,-2.207164275556879
9,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[-0.02770583  0.06748391  0.0217546  ... -0.05335051  0.08010377
  0.07307621]",0.692115625942305,0.263706878930293
9,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.03041735  0.06749128  0.02071323 ... -0.05324381  0.07994356
  0.07293006]",0.6548020903044954,0.6818405353641914
10,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.03349671  0.06750267  0.01967431 ... -0.05313732  0.07978367
  0.0727842 ]",0.7712467566082652,-0.1509583085315942
10,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.03637556  0.06751193  0.01863719 ... -0.05303104  0.07962411
  0.07263863]",0.7562418620875254,0.16475292626555849
10,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.0377052   0.06745718  0.01802185 ... -0.05292498  0.07946486
  0.07249335]",0.7465486967314356,-2.1934923951139904
10,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712205,"[-0.04058425  0.06746663  0.01698818 ... -0.05281913  0.07930593
  0.07234836]",0.692115625942305,0.5496483109402099
10,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.04327     0.06747404  0.01595634 ... -0.05271349  0.07914732
  0.07220367]",0.6548020903044954,1.013496758250815
11,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.04632366  0.06748546  0.01492694 ... -0.05260807  0.07898902
  0.07205926]",0.7712467566082652,0.0895837094148515
11,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[-0.04917686  0.06749476  0.01389931 ... -0.05250285  0.07883104
  0.07191514]",0.7562418620875254,0.43050152312508416
11,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[-0.05048089  0.06744004  0.01329344 ... -0.05239784  0.07867338
  0.07177131]",0.7465486967314356,-2.1799566876929735
11,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712205,"[-0.05333439  0.06744952  0.01226923 ... -0.05229305  0.07851604
  0.07162777]",0.692115625942305,0.832741743434859
11,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[-0.05599464  0.06745696  0.01124683 ... -0.05218846  0.078359
  0.07148451]",0.6548020903044954,1.3418496586515207
12,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[-0.05902286  0.06746842  0.01022685 ... -0.05208409  0.07820229
  0.07134154]",0.7712467566082652,0.3277299096384283
